what is the elevation of the highest point in the usa ||| SELECT max(highlow.highest_elevation) FROM highlow;
what is the longest river in pennsylvania ||| SELECT river.river_name FROM river WHERE river.traverse='pennsylvania' AND river.length=(SELECT max(river.length) FROM river WHERE river.traverse='pennsylvania');
what are the major cities in kansas ||| SELECT city.city_name FROM city WHERE city.state_name='kansas' AND city.population>150000;
which states does the missouri river pass through ||| SELECT river.traverse FROM river WHERE river.river_name='missouri';
what capital is the largest in the us ||| SELECT city.city_name FROM city WHERE city.population=(SELECT max(city.population) FROM city,state WHERE city.city_name=state.capital);
what cities in texas have the highest number of citizens ||| SELECT city.city_name FROM city WHERE city.state_name='texas' AND city.population=(SELECT max(city.population) FROM city WHERE city.state_name='texas');
how many people stay in utah ||| SELECT state.population FROM state WHERE state.state_name='utah';
what are the biggest rivers in texas ||| SELECT river.river_name FROM river WHERE river.traverse='texas' AND river.length=(SELECT max(river.length) FROM river WHERE river.traverse='texas');
which states border no other states ? ||| SELECT state.state_name FROM state WHERE state.state_name NOT IN(SELECT border_info.state_name FROM border_info);
which states have a major city named austin ? ||| SELECT city.state_name FROM city WHERE city.city_name='austin' AND city.population > 150000;
which state has the red river ||| SELECT river.traverse FROM river WHERE river.river_name='red';
what is the population of california ||| SELECT state.population FROM state WHERE state.state_name='california';
what states have rivers running through them ? ||| SELECT river.traverse FROM river;
what is the largest state in the us ||| SELECT state.state_name FROM state WHERE state.area=(SELECT max(state.area) FROM state);
how many major cities are there in oregon ||| SELECT count(city.city_name) FROM city WHERE city.state_name='oregon' AND city.population>150000;
what is the highest point of the state with the largest area ||| SELECT highlow.highest_point FROM highlow,state WHERE highlow.state_name=state.state_name AND state.state_name IN(SELECT state.state_name FROM state WHERE state.area=(SELECT max(state.area) FROM state));
how many major cities are in texas ||| SELECT count(city.city_name) FROM city WHERE city.state_name='texas' AND city.population>150000;
what is the longest river in america ||| SELECT river.river_name FROM river WHERE river.length=(SELECT max(river.length) FROM river);
what is the highest point in texas ||| SELECT highlow.highest_point FROM highlow WHERE highlow.state_name='texas';
what are the major cities in oklahoma ||| SELECT city.city_name FROM city WHERE city.state_name='oklahoma' AND city.population>150000;
name the longest river in us ||| SELECT river.river_name FROM river WHERE river.length=(SELECT max(river.length) FROM river);
what is the shortest river in nebraska ||| SELECT river.river_name FROM river WHERE river.traverse='nebraska' AND river.length=(SELECT min(river.length) FROM river WHERE river.traverse='nebraska');
what is the area of idaho ||| SELECT state.area FROM state WHERE state.state_name='idaho';
what is the lowest point in the state of texas ||| SELECT highlow.lowest_point FROM highlow WHERE highlow.state_name='texas';
what states border rhode island ||| SELECT border_info.border FROM border_info WHERE border_info.state_name='rhode island';
what is the most populous state in the us ||| SELECT state.state_name FROM state WHERE state.population=(SELECT max(state.population) FROM state);
what states border kentucky ||| SELECT border_info.border FROM border_info WHERE border_info.state_name='kentucky';
what rivers run through maine ||| SELECT river.river_name FROM river WHERE river.traverse='maine';
what are the populations of the states through which the mississippi river run ||| SELECT state.population FROM state WHERE state.state_name IN(SELECT river.traverse FROM river WHERE river.river_name='mississippi');
what rivers do not run through tennessee ||| SELECT river.river_name FROM river WHERE river.river_name NOT IN(SELECT river.river_name FROM river WHERE river.traverse='tennessee');
what is the most populous city in texas ||| SELECT city.city_name FROM city WHERE city.state_name='texas' AND city.population=(SELECT max(city.population) FROM city WHERE city.state_name='texas');
could you tell me what is the highest point in the state of oregon ||| SELECT highlow.highest_point FROM highlow WHERE highlow.state_name='oregon';
what is the longest river in the united states ||| SELECT river.river_name FROM river WHERE river.length=(SELECT max(river.length) FROM river);
which states border new york ||| SELECT border_info.border FROM border_info WHERE border_info.state_name='new york';
which is the shortest river ||| SELECT river.river_name FROM river WHERE river.length=(SELECT min(river.length) FROM river);
what states border the states with the most cities ? ||| SELECT border_info.border FROM border_info WHERE border_info.state_name IN ( SELECT tmp1.state_name FROM (SELECT city.state_name, count(1) AS cnt1 FROM city GROUP BY city.state_name) tmp1 WHERE cnt1 = (SELECT max(cnt) FROM (SELECT count(1) AS cnt FROM city GROUP BY city.state_name) tmp))
what state has the capital salem ||| SELECT state.state_name FROM state WHERE state.capital='salem';
what rivers run through colorado ||| SELECT river.river_name FROM river WHERE river.traverse='colorado';
what state has the highest population ||| SELECT state.state_name FROM state WHERE state.population=(SELECT max(state.population) FROM state);
what is the highest point in kansas ||| SELECT highlow.highest_point FROM highlow WHERE highlow.state_name='kansas';
what river runs through the most states ||| SELECT river.river_name FROM river GROUP BY(river.river_name) ORDER BY count(distinct river.traverse) DESC LIMIT 1;
what is the longest river in mississippi ||| SELECT river.river_name FROM river WHERE river.traverse='mississippi' AND river.length=(SELECT max(river.length) FROM river WHERE river.traverse='mississippi');
how many states border colorado and border new mexico ||| SELECT count(border_info.border) FROM border_info WHERE border_info.state_name='colorado' AND border_info.border IN(SELECT border_info.border FROM border_info WHERE border_info.state_name='new mexico');
name the rivers in arkansas ||| SELECT river.river_name FROM river WHERE river.traverse='arkansas';
what is the largest state ||| SELECT state.state_name FROM state WHERE state.area=(SELECT max(state.area) FROM state);
what state has the most major rivers running through it ? ||| SELECT river.traverse FROM river WHERE river.length > 750 GROUP BY river.traverse ORDER BY count(1) DESC LIMIT 1;
what is the capital of vermont ||| SELECT state.capital FROM state WHERE state.state_name='vermont';
what state is pittsburgh in ||| SELECT city.state_name FROM city WHERE city.city_name='pittsburgh';
how big is alaska ||| SELECT state.area FROM state WHERE state.state_name='alaska';
what states border texas ||| SELECT border_info.border FROM border_info WHERE border_info.state_name='texas';
which river runs through the most states ? ||| SELECT river.river_name FROM river GROUP BY(river.river_name) ORDER BY count(distinct river.traverse) DESC LIMIT 1;
which state has the least population density ||| SELECT state.state_name FROM state WHERE state.density=(SELECT min(state.density) FROM state);
what river flows through colorado ||| SELECT river.river_name FROM river WHERE river.traverse='colorado';
how many people live in new hampshire ||| SELECT state.population FROM state WHERE state.state_name='new hampshire';
which states border colorado ||| SELECT border_info.border FROM border_info WHERE border_info.state_name='colorado';
how long is the shortest river in the usa ||| SELECT river.length FROM river WHERE river.length=(SELECT min(river.length) FROM river);
what are the capitals of states that border texas ||| SELECT state.capital FROM state,border_info WHERE border_info.border=state.state_name AND border_info.state_name='texas';
what are the neighboring states for michigan ||| SELECT border_info.border FROM border_info WHERE border_info.state_name='michigan';
what rivers are in new mexico ||| SELECT river.river_name FROM river WHERE river.traverse='new mexico';
how big is north dakota ||| SELECT state.area FROM state WHERE state.state_name='north dakota';
how many states does missouri border ||| SELECT count(border_info.border) FROM border_info WHERE border_info.state_name='missouri';
what are the major cities in rhode island ||| SELECT city.city_name FROM city WHERE city.state_name='rhode island' AND city.population>150000;
what is the biggest state in the usa ||| SELECT state.state_name FROM state WHERE state.area=(SELECT max(state.area) FROM state);
how many citizens live in california ||| SELECT state.population FROM state WHERE state.state_name='california';
how many cities does the usa have ||| SELECT count(city.city_name) FROM city;
what is the highest point in the state with the most rivers ||| SELECT highlow.highest_point FROM highlow WHERE(highlow.state_name=(SELECT river.traverse FROM river,state WHERE river.traverse=state.state_name GROUP BY state.state_name ORDER BY count(river.river_name) DESC LIMIT 1));
what is the smallest city of the smallest state in the us ||| SELECT city.city_name FROM city WHERE city.population=(SELECT min(city.population) FROM city WHERE city.state_name IN(SELECT state.state_name FROM state WHERE state.area=(SELECT min(state.area) FROM state))) AND city.state_name IN(SELECT state.state_name FROM state WHERE state.area=(SELECT min(state.area) FROM state));
what is the population of maine ||| SELECT state.population FROM state WHERE state.state_name='maine';
what is the biggest city in oregon ||| SELECT city.city_name FROM city WHERE city.state_name='oregon' AND city.population=(SELECT max(city.population) FROM city WHERE city.state_name='oregon');
what is the biggest state in continental us ||| SELECT state.state_name FROM state WHERE state.area=(SELECT max(state.area) FROM state);
what are the high points of states surrounding mississippi ||| SELECT highlow.highest_point FROM highlow WHERE highlow.state_name IN(SELECT border_info.border FROM border_info WHERE border_info.state_name='mississippi');
what state has the sparsest population density ||| SELECT state.state_name FROM state WHERE state.density=(SELECT min(state.density) FROM state);
what is the size of texas ||| SELECT state.area FROM state WHERE state.state_name='texas';
what is the shortest river ||| SELECT river.river_name FROM river WHERE river.length=(SELECT min(river.length) FROM river);
can you tell me the capital of texas ||| SELECT state.capital FROM state WHERE state.state_name='texas';
in which state is rochester ||| SELECT city.state_name FROM city WHERE city.city_name='rochester';
what rivers run through west virginia ||| SELECT river.river_name FROM river WHERE river.traverse='west virginia';
what is the state that contains the highest point ||| SELECT highlow.state_name FROM highlow WHERE highlow.highest_elevation=(SELECT max(highlow.highest_elevation) FROM highlow);
what is the biggest city in usa ||| SELECT city.city_name FROM city WHERE city.population=(SELECT max(city.population) FROM city);
how many rivers in texas are longer than the red ||| SELECT count(river.river_name) FROM river WHERE river.traverse='texas' AND river.length > all(SELECT river.length FROM river WHERE river.river_name='red');
how long is the rio grande river ||| SELECT river.length FROM river WHERE river.river_name='rio grande';
what is the adjacent state of california ||| SELECT border_info.border FROM border_info WHERE border_info.state_name='california';
what states border new hampshire ||| SELECT border_info.border FROM border_info WHERE border_info.state_name='new hampshire';
what is the longest river that flows through colorado ||| SELECT river.river_name FROM river WHERE river.traverse='colorado' AND river.length=(SELECT max(river.length) FROM river WHERE river.traverse='colorado');
how many states does iowa border ||| SELECT count(border_info.border) FROM border_info WHERE border_info.state_name='iowa';
which states does the mississippi river run through ||| SELECT river.traverse FROM river WHERE river.river_name='mississippi';
what is the area of new mexico ||| SELECT state.area FROM state WHERE state.state_name='new mexico';
how many people live in montana ||| SELECT state.population FROM state WHERE state.state_name='montana';
which states border the longest river in the usa ||| SELECT border_info.border FROM border_info WHERE border_info.state_name IN (SELECT river.traverse FROM river WHERE river.length = (SELECT max(river.length) FROM river)  );
what state has the most cities ? ||| SELECT city.state_name FROM city GROUP BY city.state_name ORDER BY count(1) DESC LIMIT 1;
what river traverses the most states ? ||| SELECT river.river_name FROM river GROUP BY(river.river_name) ORDER BY count(distinct river.traverse) DESC LIMIT 1;
what is the smallest city in washington ||| SELECT city.city_name FROM city WHERE city.state_name='washington' AND city.population=(SELECT min(city.population) FROM city WHERE city.state_name='washington');
what is the largest state traversed by the mississippi river ||| SELECT state.state_name FROM state WHERE state.state_name IN(SELECT river.traverse FROM river WHERE river.river_name='mississippi') AND state.area=(SELECT max(state.area) FROM state WHERE state.state_name IN(SELECT river.traverse FROM river WHERE river.river_name='mississippi'));
what state borders most other states ? ||| SELECT border_info.border FROM border_info GROUP BY border_info.border having count(1) = (SELECT max(cnt1) FROM (SELECT border_info.border, count(1) AS cnt1 FROM border_info GROUP BY border_info.border) tmp);
how many big cities are in pennsylvania ||| SELECT count(city.city_name) FROM city WHERE city.state_name='pennsylvania' AND city.population>150000;
what is the shortest river in iowa ||| SELECT river.river_name FROM river WHERE river.traverse='iowa' AND river.length=(SELECT min(river.length) FROM river WHERE river.traverse='iowa');
what are the rivers of montana ||| SELECT river.river_name FROM river WHERE river.traverse='montana';
what is the population of arizona ||| SELECT state.population FROM state WHERE state.state_name='arizona';
how many major cities are in states bordering utah ||| SELECT count(city.city_name) FROM city WHERE city.state_name IN(SELECT border_info.border FROM border_info WHERE border_info.state_name='utah') AND city.population>150000;
what state contains the highest point in the us ||| SELECT highlow.state_name FROM highlow WHERE highlow.highest_elevation=(SELECT max(highlow.highest_elevation) FROM highlow);
what are the major cities in texas ||| SELECT city.city_name FROM city WHERE city.state_name='texas' AND city.population>150000;
how many cities are there in us ||| SELECT count(city.city_name) FROM city WHERE city.population>150000;
what is the largest city in wisconsin ||| SELECT city.city_name FROM city WHERE city.state_name='wisconsin' AND city.population=(SELECT max(city.population) FROM city WHERE city.state_name='wisconsin');
what are the populations of the states through which the mississippi run ||| SELECT state.population FROM state WHERE state.state_name IN(SELECT river.traverse FROM river WHERE river.river_name='mississippi');
number of citizens in boulder ||| SELECT city.population FROM city WHERE city.city_name='boulder';
what is the population of austin texas ||| SELECT city.population FROM city WHERE city.city_name='austin' AND city.state_name='texas';
how many states does the mississippi run through ||| SELECT count(river.traverse) FROM river WHERE river.river_name='mississippi';
how many citizens in boulder ||| SELECT city.population FROM city WHERE city.city_name='boulder';
what is the biggest city in wyoming ||| SELECT city.city_name FROM city WHERE city.state_name='wyoming' AND city.population=(SELECT max(city.population) FROM city WHERE city.state_name='wyoming');
name all the rivers in colorado ||| SELECT river.river_name FROM river WHERE river.traverse='colorado';
what is the area of seattle ||| SELECT state.area FROM state WHERE state.state_name='seattle';
what is the smallest state through which the longest river runs ||| SELECT state.state_name FROM state WHERE state.state_name IN(SELECT river.traverse FROM river WHERE river.length=(SELECT max(river.length) FROM river)) AND state.area=(SELECT min(state.area) FROM state WHERE state.state_name IN(SELECT river.traverse FROM river WHERE river.length=(SELECT max(river.length) FROM river)));
what states border states that border states that border florida ||| SELECT border_info.border FROM border_info WHERE border_info.state_name IN(SELECT border_info.border FROM border_info WHERE border_info.state_name IN(SELECT border_info.border FROM border_info WHERE border_info.state_name='florida'));
how many citizens in alabama ||| SELECT state.population FROM state WHERE state.state_name='alabama';
which is the lowest point of the states that the mississippi runs through ||| SELECT highlow.lowest_elevation FROM highlow,river WHERE river.river_name='mississippi'  AND river.traverse=highlow.state_name;
how many rivers are in colorado ||| SELECT count(river.river_name) FROM river WHERE river.traverse='colorado';
how many states have major rivers ||| SELECT count(river.traverse) FROM river WHERE river.length>750;
what are the populations of the states through which the mississippi river runs ||| SELECT state.population FROM state WHERE state.state_name IN(SELECT river.traverse FROM river WHERE river.river_name='mississippi');
what is the area of texas ||| SELECT state.area FROM state WHERE state.state_name='texas';
what is the total area of the usa ||| SELECT sum(state.area) FROM state;
through which states does the mississippi flow ||| SELECT river.traverse FROM river WHERE river.river_name='mississippi';
what are the major cities in montana ||| SELECT city.city_name FROM city WHERE city.state_name='montana' AND city.population>150000;
how many states border on the state whose capital is boston ||| SELECT count(border_info.border) FROM border_info WHERE border_info.state_name=(SELECT state.state_name FROM state WHERE state.capital='boston');
what is the largest state capital in population ||| SELECT city.city_name FROM city WHERE city.population=(SELECT max(city.population) FROM city,state WHERE city.city_name=state.capital);
which state has the longest river ||| SELECT river.traverse FROM river WHERE river.length=(SELECT max(river.length) FROM river);
how many major cities are in florida ||| SELECT count(city.city_name) FROM city WHERE city.state_name='florida' AND city.population>150000;
show major cities in colorado ||| SELECT city.city_name FROM city WHERE city.state_name='colorado' AND city.population>150000;
how many states does the colorado river run through ||| SELECT count(river.traverse) FROM river WHERE river.river_name='colorado';
how many states border texas ||| SELECT count(border_info.border) FROM border_info WHERE border_info.state_name='texas';
what are the major cities in delaware ||| SELECT city.city_name FROM city WHERE city.state_name='delaware' AND city.population>150000;
what state borders the state with the smallest population ||| SELECT border_info.border FROM border_info WHERE border_info.state_name IN(SELECT state.state_name FROM state WHERE state.population=(SELECT min(state.population) FROM state));
how many rivers are there in texas ||| SELECT count(river.river_name) FROM river WHERE river.traverse='texas';
what state has the most people ||| SELECT state.state_name FROM state WHERE state.population=(SELECT max(state.population) FROM state);
what are the states that border the state with the greatest population ||| SELECT border_info.state_name FROM state,border_info WHERE state.state_name=border_info.border AND state.population=(SELECT max(state.population) FROM state);
what river runs through illinois ||| SELECT river.river_name FROM river WHERE river.traverse='illinois';
what is the highest point in the state with the capital des moines ||| SELECT highlow.highest_point FROM highlow WHERE highlow.state_name IN(SELECT state.state_name FROM state WHERE state.capital='des moines');
what is the average population per square km in pennsylvania ||| SELECT state.population/state.area FROM state WHERE state.state_name='pennsylvania';
what is largest capital ||| SELECT city.city_name FROM city WHERE city.population=(SELECT max(city.population) FROM city,state WHERE city.city_name=state.capital);
how many people live in kansas ||| SELECT state.population FROM state WHERE state.state_name='kansas';
what is the capital of new hampshire ||| SELECT state.capital FROM state WHERE state.state_name='new hampshire';
what states border missouri ||| SELECT border_info.border FROM border_info WHERE border_info.state_name='missouri';
what rivers run through louisiana ||| SELECT river.river_name FROM river WHERE river.traverse='louisiana';
what state has the largest city ||| SELECT city.state_name FROM city WHERE city.population=(SELECT max(city.population) FROM city);
name the 50 capitals in the usa ||| SELECT distinct state.capital FROM state;
what are the major cities in ohio ||| SELECT city.city_name FROM city WHERE city.state_name='ohio' AND city.population>150000;
what is the largest state bordering texas ||| SELECT state.state_name FROM state WHERE state.state_name IN(SELECT border_info.border FROM border_info WHERE border_info.state_name='texas') AND state.area=(SELECT max(state.area) FROM state WHERE state.state_name IN(SELECT border_info.border FROM border_info WHERE border_info.state_name='texas'));
what states border georgia ||| SELECT border_info.border FROM border_info WHERE border_info.state_name='georgia';
what is the largest city in a state that borders texas ||| SELECT city.city_name FROM city WHERE city.state_name IN(SELECT border_info.border FROM border_info WHERE border_info.state_name='texas') AND city.population=(SELECT max(city.population) FROM city WHERE city.state_name IN(SELECT border_info.border FROM border_info WHERE border_info.state_name='texas'));
what states capital is dover ||| SELECT state.state_name FROM state WHERE state.capital='dover';
what states have cities named austin ||| SELECT city.state_name FROM city WHERE city.city_name='austin';
what state has the shortest river ||| SELECT distinct river.traverse FROM river WHERE river.length=(SELECT min(distinct river.length) FROM river);
what states have towns named springfield ||| SELECT city.state_name FROM city WHERE city.city_name='springfield';
what is the highest point in new mexico ||| SELECT highlow.highest_point FROM highlow WHERE highlow.state_name='new mexico';
which states border states through which the mississippi traverses ? ||| SELECT border_info.border FROM border_info WHERE border_info.state_name IN(SELECT river.traverse FROM river WHERE river.river_name='mississippi');
what state has the largest population density ||| SELECT state.state_name FROM state WHERE state.density=(SELECT max(state.density) FROM state);
what states in the united states have a city of springfield ||| SELECT city.state_name FROM city,state WHERE city.state_name=state.state_name AND city.city_name='springfield';
what rivers flow through states that border the state with the largest population ||| SELECT river.river_name FROM river WHERE river.traverse IN(SELECT border_info.border FROM border_info WHERE border_info.state_name IN(SELECT state.state_name FROM state WHERE state.population=(SELECT max(state.population) FROM state )));
how many states border at least one other state ||| SELECT count(distinct border_info.state_name) FROM border_info;
what are the populations of states through which the mississippi run ||| SELECT state.population FROM state WHERE state.state_name IN(SELECT river.traverse FROM river WHERE river.river_name='mississippi');
what are the major cities in north carolina ||| SELECT city.city_name FROM city WHERE city.state_name='north carolina' AND city.population>150000;
how many states border the largest state ||| SELECT count(border_info.border) FROM border_info WHERE border_info.state_name=(SELECT state.state_name FROM state WHERE state.area=(SELECT max(state.area) FROM state));
what is the major cities in montana ||| SELECT city.city_name FROM city WHERE city.state_name='montana' AND city.population>150000;
how many people live in texas ||| SELECT state.population FROM state WHERE state.state_name='texas';
what is the tallest mountain in america ||| SELECT mountain.mountain_name FROM mountain WHERE mountain.mountain_altitude=(SELECT max(mountain.mountain_altitude) FROM mountain);
people in boulder ||| SELECT city.population FROM city WHERE city.city_name='boulder';
what is the population density of texas ||| SELECT state.density FROM state WHERE state.state_name='texas';
what is the capital of pennsylvania ||| SELECT state.capital FROM state WHERE state.state_name='pennsylvania';
how many states have cities or towns named springfield ||| SELECT count(city.state_name) FROM city WHERE city.city_name='springfield';
how many rivers are there in us ||| SELECT count(river.river_name) FROM river;
what states does the missouri river run through ||| SELECT river.traverse FROM river WHERE river.river_name='missouri';
how many people live in san francisco ||| SELECT city.population FROM city WHERE city.city_name='san francisco';
which states border texas ||| SELECT border_info.border FROM border_info WHERE border_info.state_name='texas';
what is the capital of indiana ||| SELECT state.capital FROM state WHERE state.state_name='indiana';
what state has the smallest capital ? ||| (SELECT city.state_name FROM city WHERE city.population = (SELECT min(tmp.population) FROM (SELECT city.population FROM city, state WHERE state.capital = city.city_name) tmp) );
which states does the missouri river run through ||| SELECT river.traverse FROM river WHERE river.river_name='missouri';
which states border arizona ||| SELECT border_info.border FROM border_info WHERE border_info.state_name='arizona';
what is the lowest point of the us ||| SELECT highlow.lowest_point FROM highlow WHERE highlow.lowest_elevation = (SELECT min(highlow.lowest_elevation) FROM highlow);
what is the longest river ||| SELECT river.river_name FROM river WHERE river.length=(SELECT max(river.length) FROM river);
what state has the largest urban population ? ||| SELECT city.state_name FROM city GROUP BY city.state_name ORDER BY sum(city.population) DESC LIMIT 1;
what is the capital of the state texas ||| SELECT state.capital FROM state WHERE state.state_name='texas';
what state is des moines located in ||| SELECT city.state_name FROM city WHERE city.city_name='des moines';
what is the largest city in minnesota by population ||| SELECT city.city_name FROM city WHERE city.state_name='minnesota' AND city.population=(SELECT max(city.population) FROM city WHERE city.state_name='minnesota');
what states border arkansas ||| SELECT border_info.border FROM border_info WHERE border_info.state_name='arkansas';
how many rivers run through texas ||| SELECT count(river.river_name) FROM river WHERE river.traverse='texas';
which states does the colorado river run through ||| SELECT river.traverse FROM river WHERE river.river_name='colorado';
what are the major cities in the largest state ||| SELECT city.city_name FROM city WHERE city.population>150000 AND city.state_name=(SELECT state.state_name FROM state WHERE state.area=(SELECT max(state.area) FROM state));
what states does the mississippi run through ||| SELECT river.traverse FROM river WHERE river.river_name='mississippi';
what is the population of minnesota ||| SELECT state.population FROM state WHERE state.state_name='minnesota';
what is the biggest state ||| SELECT state.state_name FROM state WHERE state.area=(SELECT max(state.area) FROM state);
what is the population of boston massachusetts ||| SELECT city.population FROM city WHERE city.city_name='boston' AND city.state_name='massachusetts';
what states are next to the mississippi ? ||| SELECT border_info.border FROM border_info WHERE border_info.state_name='mississippi';
what states does the shortest river run through ||| SELECT river.traverse FROM river WHERE river.length=(SELECT min(river.length) FROM river);
what is the capital of maine ||| SELECT state.capital FROM state WHERE state.state_name='maine';
what is the largest state in usa ||| SELECT state.state_name FROM state WHERE state.area=(SELECT max(state.area) FROM state);
